,predict,true
385,3506.653564453125,3529.01
386,3519.525634765625,3510.96
387,3522.78076171875,3506.94
388,3528.36865234375,3486.56
389,3520.714111328125,3497.2800000000007
390,3514.302734375,3581.3399999999997
391,3549.86376953125,3593.36
392,3584.757080078125,3608.8500000000004
393,3601.23828125,3600.78
394,3618.2333984375,3615.4800000000005
395,3625.028564453125,3624.71
396,3634.855712890625,3597.1399999999994
397,3634.164306640625,3584.21
398,3628.079833984375,3591.84
399,3618.35791015625,3599.5400000000004
400,3616.302490234375,3580.1100000000006
401,3610.349853515625,3591.4
402,3606.606689453125,3610.86
403,3618.01171875,3589.7500000000005
404,3625.13916015625,3556.56
405,3608.390625,3518.33
406,3579.724853515625,3525.6
407,3556.359375,3525.0999999999995
408,3548.26806640625,3529.1799999999994
409,3541.493408203125,3557.41
410,3557.80859375,3566.2199999999993
411,3571.51171875,3566.6500000000005
412,3581.133544921875,3607.5599999999995
413,3603.037353515625,3606.3699999999994
414,3616.1923828125,3573.18
415,3607.336181640625,3591.2
416,3600.661376953125,3588.7800000000007
417,3606.691650390625,3518.76
418,3577.119140625,3534.3200000000006
419,3560.453369140625,3530.26
420,3555.771240234375,3553.7200000000003
421,3556.73388671875,3525.5000000000005
422,3561.798828125,3524.0900000000006
423,3550.649169921875,3547.84
424,3573.56103515625,3566.52
425,3579.876953125,3528.5
426,3575.24755859375,3564.59
427,3575.525146484375,3539.3
428,3579.3251953125,3539.1199999999994
429,3565.605712890625,3536.79
430,3553.07275390625,3562.6599999999994
431,3571.544189453125,3574.73
432,3589.02880859375,3550.4
433,3598.3583984375,3467.4400000000005
434,3561.58251953125,3381.1799999999994
435,3513.165771484375,3361.5900000000006
436,3442.37646484375,3411.7200000000003
437,3434.247314453125,3397.36
438,3431.763671875,3464.2900000000004
439,3452.461669921875,3447.9899999999993
440,3470.540771484375,3477.22
441,3480.4150390625,3466.5499999999997
442,3487.341796875,3458.23
443,3485.118896484375,3494.63
444,3496.162109375,3529.93
445,3518.86962890625,3532.6200000000003
446,3545.20751953125,3524.74
447,3551.609130859375,3516.3000000000006
448,3553.078857421875,3517.3400000000006
449,3557.507568359375,3446.9799999999996
450,3536.657470703125,3485.29
451,3518.85791015625,3465.5499999999997
452,3511.1318359375,3427.3300000000004
453,3485.49658203125,3477.13
454,3492.308349609375,3514.47
455,3523.29296875,3540.38
456,3550.8359375,3501.66
457,3562.966796875,3522.16
458,3562.7099609375,3528.15
459,3580.494384765625,3543.94
460,3585.162841796875,3567.1000000000004
461,3620.9931640625,3597.04
462,3633.44384765625,3581.73
463,3653.22216796875,3621.8599999999997
464,3655.086669921875,3676.59
465,3689.900634765625,3675.19
466,3721.751953125,3693.13
467,3739.59912109375,3703.11
468,3765.118408203125,3715.3700000000003
469,3767.244873046875,3662.6
470,3756.002685546875,3656.22
471,3723.200927734375,3607.09
472,3711.2578125,3613.9700000000003
473,3679.4736328125,3628.49
474,3660.831787109375,3642.2200000000003
475,3693.07177734375,3613.0700000000006
476,3681.76904296875,3582.8299999999995
477,3666.72265625,3602.2199999999993
478,3648.61767578125,3536.2900000000004
479,3619.400146484375,3568.1700000000005
480,3602.95458984375,3592.1699999999996
481,3620.732177734375,3591.71
482,3624.441162109375,3546.94
483,3603.9931640625,3561.7599999999998
484,3587.048828125,3558.28
485,3581.04443359375,3572.3700000000003
486,3582.8154296875,3568.1400000000003
487,3585.1689453125,3593.15
488,3596.9951171875,3587.0
489,3605.708984375,3594.78
490,3614.44873046875,3582.6000000000004
491,3616.396728515625,3609.86
492,3615.190185546875,3597.64
493,3624.19482421875,3562.31
494,3609.724609375,3518.4200000000005
495,3586.29150390625,3547.3399999999997
496,3575.7705078125,3544.4800000000005
497,3575.83349609375,3505.6299999999997
498,3565.66796875,3498.54
499,3536.67431640625,3526.87
500,3540.914794921875,3491.5700000000006
501,3536.716796875,3498.63
502,3522.9345703125,3507.0000000000005
503,3522.554443359375,3492.46
504,3512.70751953125,3532.79
505,3526.803955078125,3539.1
506,3542.656494140625,3533.3
507,3549.37353515625,3521.79
508,3549.12890625,3537.3700000000003
509,3546.210205078125,3520.71
510,3548.025634765625,3560.37
511,3558.045166015625,3582.0800000000004
512,3580.916748046875,3589.0899999999997
513,3600.6240234375,3592.7
514,3607.406494140625,3584.18
515,3607.0869140625,3564.0900000000006
516,3595.349365234375,3562.6999999999994
517,3585.255615234375,3563.89
518,3592.255615234375,3576.8900000000003
519,3592.4619140625,3573.8400000000006
520,3598.980712890625,3607.43
521,3615.044921875,3589.3100000000004
522,3631.5458984375,3595.0900000000006
523,3632.64404296875,3637.57
524,3641.573486328125,3673.04
525,3678.938720703125,3666.3500000000004
526,3688.63427734375,3681.0799999999995
527,3711.64453125,3661.5299999999997
528,3698.422119140625,3647.6299999999997
529,3692.98681640625,3675.02
530,3695.899658203125,3632.36
531,3691.418212890625,3593.6
532,3668.69482421875,3625.13
533,3660.85986328125,3622.62
534,3662.291015625,3643.34
535,3663.066650390625,3618.05
536,3661.824462890625,3615.9700000000003
537,3647.4658203125,3630.11
538,3646.06689453125,3597.0
539,3635.839111328125,3619.1900000000005
540,3633.34375,3639.78
541,3648.52685546875,3632.33
542,3663.047119140625,3595.1799999999994
543,3654.647216796875,3586.08
544,3631.9912109375,3579.54
545,3636.5029296875,3593.52
546,3618.25830078125,3567.4399999999996
547,3612.067138671875,3597.4300000000003
548,3612.799560546875,3555.26
549,3608.552490234375,3521.26
550,3584.966796875,3541.6699999999996
551,3569.63525390625,3569.91
552,3584.139892578125,3558.18
553,3581.37353515625,3555.0599999999995
554,3586.687255859375,3522.5700000000006
555,3567.9814453125,3524.11
556,3548.788330078125,3433.06
557,3518.549072265625,3455.67
558,3487.8134765625,3394.25
559,3460.28857421875,3361.4400000000005
560,3428.764892578125,3429.58
561,3440.601806640625,3452.63
562,3453.5908203125,3479.9499999999994
563,3475.35009765625,3485.9100000000003
564,3493.187744140625,3462.95
565,3499.222900390625,3428.8800000000006
566,3476.67626953125,3446.0899999999997
567,3465.590576171875,3465.83
568,3473.1796875,3468.0399999999995
569,3478.811279296875,3490.7599999999998
570,3484.808349609375,3490.6100000000006
571,3497.408203125,3457.15
572,3490.68603515625,3489.15
573,3498.552978515625,3429.9600000000005
574,3503.639404296875,3451.41
575,3494.4638671875,3462.31
576,3485.935791015625,3488.83
577,3495.884521484375,3484.19
578,3497.526123046875,3481.11
579,3516.97314453125,3447.6499999999996
580,3502.745361328125,3372.8600000000006
581,3468.064453125,3293.53
582,3414.324951171875,3256.39
583,3353.666015625,3296.09
584,3341.171630859375,3309.75
585,3329.17333984375,3223.53
586,3298.039794921875,3063.97
587,3233.438232421875,3170.71
